time,sensor,value,event,system,source
1772875760948537,gnc_predicted_thrust,0,,atlas,gnc
1772875760948537,gnc_target_thrust,0,,atlas,gnc
1772875760948537,gnc_predicted_of,1.45896,,atlas,gnc
1772875760948537,gnc_mdot_fuel,0.59673,,atlas,gnc
1772875760948537,gnc_mdot_lox,0.8706,,atlas,gnc
1772875760948537,gnc_thrust_error,0,,atlas,gnc
1772875760948537,gnc_change_alpha_cmd,-0.22172,,atlas,gnc
1772875760948537,gnc_clamped_change_alpha_cmd,-0.22172,,atlas,gnc
1772875760948537,gnc_alpha,28.0,,atlas,gnc
1772875760948537,gnc_thrust_from_alpha,145.6,,atlas,gnc
1772875760948537,gnc_fuel_valve_setpoint,20.0,,atlas,gnc
1772875760948537,gnc_fuel_valve_driver,19.50185,,atlas,gnc
1772875760948537,gnc_fuel_valve_encoder_pos,18.77916,,atlas,gnc
1772875760948537,gnc_lox_valve_setpoint,24.69534,,atlas,gnc
1772875760948537,gnc_lox_valve_driver,25.39595,,atlas,gnc
1772875760948537,gnc_lox_valve_encoder_pos,24.74586,,atlas,gnc
1772875760948537,gnc_ptf401,210.0,,atlas,gnc
1772875760948537,gnc_pto401,325.0,,atlas,gnc
1772875760948537,gnc_ptc401,40.0,,atlas,gnc
1772875760948537,gnc_ptc402,41.0,,atlas,gnc
1772875760998537,gnc_predicted_thrust,0,,atlas,gnc
1772875760998537,gnc_target_thrust,0,,atlas,gnc
1772875760998537,gnc_predicted_of,1.45579,,atlas,gnc
1772875760998537,gnc_mdot_fuel,0.60165,,atlas,gnc
1772875760998537,gnc_mdot_lox,0.87589,,atlas,gnc
1772875760998537,gnc_thrust_error,0,,atlas,gnc
1772875760998537,gnc_change_alpha_cmd,0.06403,,atlas,gnc
1772875760998537,gnc_clamped_change_alpha_cmd,0.06403,,atlas,gnc
1772875760998537,gnc_alpha,28.32978,,atlas,gnc
1772875760998537,gnc_thrust_from_alpha,147.62986,,atlas,gnc
1772875760998537,gnc_fuel_valve_setpoint,20.13997,,atlas,gnc
1772875760998537,gnc_fuel_valve_driver,20.41095,,atlas,gnc
1772875760998537,gnc_fuel_valve_encoder_pos,19.71387,,atlas,gnc
1772875760998537,gnc_lox_valve_setpoint,24.82346,,atlas,gnc
1772875760998537,gnc_lox_valve_driver,25.33724,,atlas,gnc
1772875760998537,gnc_lox_valve_encoder_pos,24.71443,,atlas,gnc
1772875760998537,gnc_ptf401,210.04,,atlas,gnc
1772875760998537,gnc_pto401,325.0525,,atlas,gnc
1772875760998537,gnc_ptc401,40.04124,,atlas,gnc
1772875760998537,gnc_ptc402,41.0348,,atlas,gnc
1772875761048537,gnc_predicted_thrust,0,,atlas,gnc
1772875761048537,gnc_target_thrust,0,,atlas,gnc
1772875761048537,gnc_predicted_of,1.44796,,atlas,gnc
1772875761048537,gnc_mdot_fuel,0.60648,,atlas,gnc
1772875761048537,gnc_mdot_lox,0.87815,,atlas,gnc
1772875761048537,gnc_thrust_error,0,,atlas,gnc
1772875761048537,gnc_change_alpha_cmd,0.28499,,atlas,gnc
1772875761048537,gnc_clamped_change_alpha_cmd,0.28499,,atlas,gnc
1772875761048537,gnc_alpha,28.65828,,atlas,gnc
1772875761048537,gnc_thrust_from_alpha,149.65293,,atlas,gnc
1772875761048537,gnc_fuel_valve_setpoint,20.27977,,atlas,gnc
1772875761048537,gnc_fuel_valve_driver,20.43878,,atlas,gnc
1772875761048537,gnc_fuel_valve_encoder_pos,19.7669,,atlas,gnc
1772875761048537,gnc_lox_valve_setpoint,24.95041,,atlas,gnc
1772875761048537,gnc_lox_valve_driver,25.68988,,atlas,gnc
1772875761048537,gnc_lox_valve_encoder_pos,25.09411,,atlas,gnc
1772875761048537,gnc_ptf401,210.07998,,atlas,gnc
1772875761048537,gnc_pto401,325.10498,,atlas,gnc
1772875761048537,gnc_ptc401,40.08246,,atlas,gnc
1772875761048537,gnc_ptc402,41.06956,,atlas,gnc
1772875761098537,gnc_predicted_thrust,0,,atlas,gnc
1772875761098537,gnc_target_thrust,0,,atlas,gnc
1772875761098537,gnc_predicted_of,1.46618,,atlas,gnc
1772875761098537,gnc_mdot_fuel,0.61118,,atlas,gnc
1772875761098537,gnc_mdot_lox,0.8961,,atlas,gnc
1772875761098537,gnc_thrust_error,0,,atlas,gnc
1772875761098537,gnc_change_alpha_cmd,0.50094,,atlas,gnc
1772875761098537,gnc_clamped_change_alpha_cmd,0.50094,,atlas,gnc
1772875761098537,gnc_alpha,28.98421,,atlas,gnc
1772875761098537,gnc_thrust_from_alpha,151.66245,,atlas,gnc
1772875761098537,gnc_fuel_valve_setpoint,20.41923,,atlas,gnc
1772875761098537,gnc_fuel_valve_driver,20.78092,,atlas,gnc
1772875761098537,gnc_fuel_valve_encoder_pos,20.13376,,atlas,gnc
1772875761098537,gnc_lox_valve_setpoint,25.07603,,atlas,gnc
1772875761098537,gnc_lox_valve_driver,25.3543,,atlas,gnc
1772875761098537,gnc_lox_valve_encoder_pos,24.78526,,atlas,gnc
1772875761098537,gnc_ptf401,210.11993,,atlas,gnc
1772875761098537,gnc_pto401,325.15743,,atlas,gnc
1772875761098537,gnc_ptc401,40.12361,,atlas,gnc
1772875761098537,gnc_ptc402,41.10427,,atlas,gnc
1772875761148537,gnc_predicted_thrust,0,,atlas,gnc
1772875761148537,gnc_target_thrust,0,,atlas,gnc
1772875761148537,gnc_predicted_of,1.45013,,atlas,gnc
1772875761148537,gnc_mdot_fuel,0.61576,,atlas,gnc
1772875761148537,gnc_mdot_lox,0.89293,,atlas,gnc
1772875761148537,gnc_thrust_error,0,,atlas,gnc
1772875761148537,gnc_change_alpha_cmd,0.61972,,atlas,gnc
1772875761148537,gnc_clamped_change_alpha_cmd,0.61972,,atlas,gnc
1772875761148537,gnc_alpha,29.30631,,atlas,gnc
1772875761148537,gnc_thrust_from_alpha,153.65181,,atlas,gnc
1772875761148537,gnc_fuel_valve_setpoint,20.55817,,atlas,gnc
1772875761148537,gnc_fuel_valve_driver,20.90655,,atlas,gnc
1772875761148537,gnc_fuel_valve_encoder_pos,20.28362,,atlas,gnc
1772875761148537,gnc_lox_valve_setpoint,25.20014,,atlas,gnc
1772875761148537,gnc_lox_valve_driver,25.69507,,atlas,gnc
1772875761148537,gnc_lox_valve_encoder_pos,25.15235,,atlas,gnc
1772875761148537,gnc_ptf401,210.15983,,atlas,gnc
1772875761148537,gnc_pto401,325.20983,,atlas,gnc
1772875761148537,gnc_ptc401,40.16467,,atlas,gnc
1772875761148537,gnc_ptc402,41.13889,,atlas,gnc
1772875761198537,gnc_predicted_thrust,0,,atlas,gnc
1772875761198537,gnc_target_thrust,0,,atlas,gnc
1772875761198537,gnc_predicted_of,1.46247,,atlas,gnc
1772875761198537,gnc_mdot_fuel,0.62021,,atlas,gnc
1772875761198537,gnc_mdot_lox,0.90704,,atlas,gnc
1772875761198537,gnc_thrust_error,0,,atlas,gnc
1772875761198537,gnc_change_alpha_cmd,0.82493,,atlas,gnc
1772875761198537,gnc_clamped_change_alpha_cmd,0.82493,,atlas,gnc
1772875761198537,gnc_alpha,29.62338,,atlas,gnc
1772875761198537,gnc_thrust_from_alpha,155.61458,,atlas,gnc
1772875761198537,gnc_fuel_valve_setpoint,20.69643,,atlas,gnc
1772875761198537,gnc_fuel_valve_driver,21.08073,,atlas,gnc
1772875761198537,gnc_fuel_valve_encoder_pos,20.48146,,atlas,gnc
1772875761198537,gnc_lox_valve_setpoint,25.32256,,atlas,gnc
1772875761198537,gnc_lox_valve_driver,25.47033,,atlas,gnc
1772875761198537,gnc_lox_valve_encoder_pos,24.95347,,atlas,gnc
1772875761198537,gnc_ptf401,210.19967,,atlas,gnc
1772875761198537,gnc_pto401,325.26217,,atlas,gnc
1772875761198537,gnc_ptc401,40.2056,,atlas,gnc
1772875761198537,gnc_ptc402,41.17339,,atlas,gnc
1772875761248537,gnc_predicted_thrust,0,,atlas,gnc
1772875761248537,gnc_target_thrust,0,,atlas,gnc
1772875761248537,gnc_predicted_of,1.45706,,atlas,gnc
1772875761248537,gnc_mdot_fuel,0.62452,,atlas,gnc
